lg_col_mass,Temperature,Ne,V,Vturb,rho,P_gas,z_height_cm,z_height_km
-4.93417501,27970.0,38041510000.0,0.0,8.889256,8.450567320215337e-14,2.992999937715152e-08,130532944.0831927,1305.329440831927
-4.93407583,24060.0,42911770000.0,0.0,8.700418,9.716146848961098e-14,2.9327100758885948e-08,130503541.81564392,1305.0354181564392
-4.93394947,20420.0,48608360000.0,0.0,8.494678,1.1311400397487075e-13,2.8596577897291715e-08,130471140.6351447,1304.711406351447
-4.93383646,17930.0,53375480000.0,0.0,8.342731,1.2755290398804857e-13,2.7958839444995867e-08,130445869.81969377,1304.4586981969378
-4.93373585,16280.0,57004960000.0,0.0,8.234054,1.3943680761523473e-13,2.744914604795709e-08,130425617.84236583,1304.2561784236584
-4.93359184,14520.0,61372260000.0,0.0,8.10573,1.5490246558979387e-13,2.680505707874972e-08,130399295.35342056,1303.9929535342055
-4.93341446,13080.0,65200940000.0,0.0,7.98737,1.7068564419894926e-13,2.6169181137161113e-08,130369986.39350408,1303.6998639350409
-4.93324804,12190.0,67471610000.0,0.0,7.905294,1.8256201257421528e-13,2.5704144755278367e-08,130344662.4204535,1303.446624204535
-4.93304968,11440.0,69184660000.0,0.0,7.82944,1.9427585342651252e-13,2.5257259258068095e-08,130316360.47875652,1303.1636047875652
-4.93279409,10850.0,69917620000.0,0.0,7.762707,2.0542202361729663e-13,2.4844195240569785e-08,130281967.19163774,1302.8196719163775
-4.9324131,10340.0,69678010000.0,0.0,7.696761,2.1716177943841413e-13,2.4424860313972697e-08,130233440.78410906,1302.3344078410905
-4.93190384,9983.0,68486730000.0,0.0,7.642009,2.274175798569906e-13,2.40774951788411e-08,130171737.4425359,1301.7173744253591
-4.93113708,9735.0,65992620000.0,0.0,7.591289,2.373506816298057e-13,2.3767603552535137e-08,130082746.32015336,1300.8274632015336
-4.93013287,9587.0,62650750000.0,0.0,7.547351,2.463156792181537e-13,2.351807943684756e-08,129970534.47630137,1299.7053447630137
-4.92838764,9458.0,58015400000.0,0.0,7.492713,2.5702845240917043e-13,2.3249610231355682e-08,129782529.1511338,1297.825291511338
-4.92132998,9358.0,58411430000.0,0.0,7.452542,2.6454011283484984e-13,2.350818372488193e-08,129041507.20979755,1290.4150720979756
-4.90772057,9228.0,61419420000.0,0.0,7.399466,2.748076965039391e-13,2.4175749714761457e-08,127626150.27060358,1276.2615027060358
-4.87617874,8988.0,66516160000.0,0.0,7.268274,3.0190995504560367e-13,2.5750053813056645e-08,124388161.86148064,1243.8816186148065
-4.82721663,8635.0,71686470000.0,0.0,7.044414,3.544656076978542e-13,2.8281149262914677e-08,119520964.31302965,1195.2096431302964
-4.76904154,8273.0,75617580000.0,0.0,6.82316,4.3120739454858487e-13,3.1638008388769936e-08,114036933.99677551,1140.369339967755
-4.70482588,7970.0,78464230000.0,0.0,6.614389,5.325169006856062e-13,3.599849630014621e-08,108345500.03512129,1083.455000351213
-4.64561558,7780.0,80953570000.0,0.0,6.431674,6.405206940303665e-13,4.0825392445449746e-08,103389356.24200739,1033.893562420074
-4.56636095,7600.0,84451000000.0,0.0,6.207403,8.129941606238986e-13,4.869927899317837e-08,97070719.03392667,970.7071903392666
-4.45723915,7410.0,88383770000.0,0.0,5.932102,1.1228490272335664e-12,6.268789763073787e-08,88850178.60668135,888.5017860668135
-4.31962919,7220.0,91856730000.0,0.0,5.590575,1.6760963148534007e-12,8.71811335160523e-08,79176520.34652208,791.7652034652208
-4.18329859,7080.0,96129620000.0,0.0,5.296849,2.4682794527605955e-12,1.2207046097395671e-07,70328162.52209374,703.2816252209375
-4.00349617,6910.0,103189700000.0,0.0,4.926045,4.092375712701131e-12,1.9217070868351856e-07,59407261.23021394,594.0726123021394
-3.8015883,6740.0,113770600000.0,0.0,4.504405,7.175095278886104e-12,3.223918873320867e-07,48142443.463287935,481.42443463287935
-3.60500216,6570.0,122087300000.0,0.0,4.0603,1.2351017956423204e-11,5.342692237391064e-07,38183112.287465006,381.8311228746501
-3.37798548,6370.0,128011700000.0,0.0,3.552633,2.3032278007068242e-11,9.572158756630934e-07,27579800.25955966,275.7980025955966
-3.1405015,6180.0,134090700000.0,0.0,3.053286,4.3734979156558477e-11,1.7541014690498367e-06,17478628.30146581,174.7862830146581
-2.88156867,5950.0,130823700000.0,0.0,2.595622,8.627723331906094e-11,3.320598524393474e-06,7315900.8961812705,73.1590089618127
-2.67674541,5760.0,122986700000.0,0.0,2.254545,1.4502356252052184e-10,5.395657072358996e-06,0.0,0.0
-2.49282169,5570.0,111165900000.0,0.0,2.000838,2.309365330995038e-10,8.302150612789784e-06,-6230043.456852987,-62.30043456852987
-2.33261061,5380.0,97421370000.0,0.0,1.77223,3.4871373196278327e-10,1.2103372432367863e-05,-11392141.242626593,-113.92141242626593
-2.1647985,5160.0,83632940000.0,0.0,1.533542,5.398278387045194e-10,1.7965709388308524e-05,-16567688.67711337,-165.6768867711337
